Unit weight [kN/m3],Effective cohesion [kPa],Effective friction angle [°],Saturated permeability [m/s],Soil Type [-],Slope angle [°],Slope length [m],Total length [m],Slope height [m],Total height Upstream [m],Total height Downstream [m],Soil depth upstream [m],Soil depth downstream [m],Bedrock depth upstream [m],Bedrock depth downstream [m],Initial piezometric surface depth - upstream [m],Initial piezometric surface depth - downstream [m],Return period of precipitation [years],Accumulated precipitation [mm],Precipitation duration [hrs],Factor of safety [-],Depth of slip surface [m],Final Piezometric surface depth - upstream [m],Final Piezometric surface depth - downstream [m]
15.0000000000,0.0000000000,25.0000000000,0.0010000000,1.0000000000,30.0000000000,80.0000000000,160.0000000000,46.1900000000,70.0000000000,23.8100000000,60.0000000000,13.8100000000,10.0000000000,10.0000000000,15.8900000000,0.0000000000,-1.0000000000,0.0000000000,-1.0000000000,0.6020000000,21.0000000000,15.8900000000,0.0000000000
15.0000000000,5.0000000000,25.0000000000,0.0010000000,1.0000000000,30.0000000000,80.0000000000,160.0000000000,46.1900000000,70.0000000000,23.8100000000,60.0000000000,13.8100000000,10.0000000000,10.0000000000,15.8900000000,0.0000000000,-1.0000000000,0.0000000000,-1.0000000000,0.6820000000,29.0000000000,15.8900000000,0.0000000000
15.0000000000,10.0000000000,25.0000000000,0.0010000000,1.0000000000,30.0000000000,80.0000000000,160.0000000000,46.1900000000,70.0000000000,23.8100000000,60.0000000000,13.8100000000,10.0000000000,10.0000000000,15.8900000000,0.0000000000,-1.0000000000,0.0000000000,-1.0000000000,0.7480000000,32.0000000000,15.8900000000,0.0000000000
15.0000000000,15.0000000000,25.0000000000,0.0010000000,1.0000000000,30.0000000000,80.0000000000,160.0000000000,46.1900000000,70.0000000000,23.8100000000,60.0000000000,13.8100000000,10.0000000000,10.0000000000,15.8900000000,0.0000000000,-1.0000000000,0.0000000000,-1.0000000000,0.8060000000,39.0000000000,15.8900000000,0.0000000000
15.0000000000,20.0000000000,25.0000000000,0.0010000000,1.0000000000,30.0000000000,80.0000000000,160.0000000000,46.1900000000,70.0000000000,23.8100000000,60.0000000000,13.8100000000,10.0000000000,10.0000000000,15.8900000000,0.0000000000,-1.0000000000,0.0000000000,-1.0000000000,0.8610000000,39.0000000000,15.8900000000,0.0000000000
15.0000000000,25.0000000000,25.0000000000,0.0010000000,1.0000000000,30.0000000000,80.0000000000,160.0000000000,46.1900000000,70.0000000000,23.8100000000,60.0000000000,13.8100000000,10.0000000000,10.0000000000,15.8900000000,0.0000000000,-1.0000000000,0.0000000000,-1.0000000000,0.9180000000,39.0000000000,15.8900000000,0.0000000000
15.0000000000,30.0000000000,25.0000000000,0.0010000000,1.0000000000,30.0000000000,80.0000000000,160.0000000000,46.1900000000,70.0000000000,23.8100000000,60.0000000000,13.8100000000,10.0000000000,10.0000000000,15.8900000000,0.0000000000,-1.0000000000,0.0000000000,-1.0000000000,0.9740000000,19.0000000000,15.8900000000,0.0000000000
15.0000000000,35.0000000000,25.0000000000,0.0010000000,1.0000000000,30.0000000000,80.0000000000,160.0000000000,46.1900000000,70.0000000000,23.8100000000,60.0000000000,13.8100000000,10.0000000000,10.0000000000,15.8900000000,0.0000000000,-1.0000000000,0.0000000000,-1.0000000000,1.0310000000,19.0000000000,15.8900000000,0.0000000000
15.0000000000,40.0000000000,25.0000000000,0.0010000000,1.0000000000,30.0000000000,80.0000000000,160.0000000000,46.1900000000,70.0000000000,23.8100000000,60.0000000000,13.8100000000,10.0000000000,10.0000000000,15.8900000000,0.0000000000,-1.0000000000,0.0000000000,-1.0000000000,1.0870000000,19.0000000000,15.8900000000,0.0000000000
15.0000000000,20.0000000000,0.0000000000,0.0010000000,1.0000000000,30.0000000000,80.0000000000,160.0000000000,46.1900000000,70.0000000000,23.8100000000,60.0000000000,13.8100000000,10.0000000000,10.0000000000,15.8900000000,0.0000000000,-1.0000000000,0.0000000000,-1.0000000000,0.2030000000,50.0000000000,15.8900000000,0.0000000000
15.0000000000,20.0000000000,5.0000000000,0.0010000000,1.0000000000,30.0000000000,80.0000000000,160.0000000000,46.1900000000,70.0000000000,23.8100000000,60.0000000000,13.8100000000,10.0000000000,10.0000000000,15.8900000000,0.0000000000,-1.0000000000,0.0000000000,-1.0000000000,0.3310000000,50.0000000000,15.8900000000,0.0000000000
15.0000000000,20.0000000000,10.0000000000,0.0010000000,1.0000000000,30.0000000000,80.0000000000,160.0000000000,46.1900000000,70.0000000000,23.8100000000,60.0000000000,13.8100000000,10.0000000000,10.0000000000,15.8900000000,0.0000000000,-1.0000000000,0.0000000000,-1.0000000000,0.4660000000,39.0000000000,15.8900000000,0.0000000000
