feature,selection_count,selection_frequency,selected_final
Unit weight [kN/m3],30,1.0,True
Effective cohesion [kPa],30,1.0,True
Effective friction angle [°],30,1.0,True
Initial piezometric surface depth - upstream [m],30,1.0,True
Bedrock depth upstream [m],27,0.9,True
Precipitation duration [hrs],26,0.8666666666666667,True
Saturated permeability [m/s],21,0.7,True
Bedrock depth downstream [m],20,0.6666666666666666,True
Slope height [m],17,0.5666666666666667,True
Initial piezometric surface depth - downstream [m],16,0.5333333333333333,True
Soil Type [-],15,0.5,True
Slope angle [°],15,0.5,True
Total height Downstream [m],14,0.4666666666666667,False
Soil depth downstream [m],13,0.43333333333333335,False
Total length [m],7,0.23333333333333334,False
Accumulated precipitation [mm],6,0.2,False
Total height Upstream [m],4,0.13333333333333333,False
Slope length [m],3,0.1,False
Soil depth upstream [m],1,0.03333333333333333,False
Return period of precipitation [years],0,0.0,False
