feature,selection_count,selection_frequency,selected_final
Unit weight [kN/m3],30,1.0,True
Undrained Shear Strength [kPa],30,1.0,True
Soil depth downstream [m],25,0.8333333333333334,True
Total height Upstream [m],23,0.7666666666666667,True
Total height Downstream [m],11,0.36666666666666664,False
Bedrock depth downstream [m],8,0.26666666666666666,False
Saturated permeability [m/s],6,0.2,False
Soil depth upstream [m],6,0.2,False
Slope angle [°],4,0.13333333333333333,False
Slope height [m],4,0.13333333333333333,False
Slope length [m],3,0.1,False
Bedrock depth upstream [m],3,0.1,False
Precipitation duration [hrs],2,0.06666666666666667,False
Return period of precipitation [years],1,0.03333333333333333,False
Soil Type [-],0,0.0,False
Total length [m],0,0.0,False
Initial piezometric surface depth - upstream [m],0,0.0,False
Initial piezometric surface depth - downstream [m],0,0.0,False
Accumulated precipitation [mm],0,0.0,False
